type,properties/Name,properties/description,geometry/type,geometry/coordinates/0,geometry/coordinates/1
OVH,Palais & Palais Plus,,Point,2.2966748,48.8645866
OVH,Maison Salon 24,2000 pax,Point,2.3237021,48.8573924
Venue,Alma Bridge 360,1760 pax,Point,2.3017994,48.8634893
Venue,Concorde Bridge 360,1715 pax,Point,2.3196264,48.863398
Venue,Terrace (Ex Girafe) + Suite (Ex Suite Girafe),,Point,2.2885823,48.8630338
OVH,Musee de l'Homme,320x,Point,2.2875517,48.8623103
Venue,Iena (Ducasse sur Seine),,Point,2.2935355,48.8618844
Venue,Alma (Mlle Mouche),400 pax,Point,2.3060615,48.8639729
Venue,Invalides 3 (Fluctuart),250 pax,Point,2.3098706,48.8631145
Venue,Invalides 2 (Riviera Fuga),150 pax,Point,2.3123736,48.8631985
Venue,Invalides 1 (Le Flow),150 pax,Point,2.314865,48.863328
Venue,Orsay 2 (Concorde Atlantique),150 pax,Point,2.3223502,48.8621239
Venue,Orsay 1 (Ex Melba),100 pax,Point,2.3247914,48.8613596
Venue,The Deck,500 pax,Point,2.3046713,48.8630811
Venue,Grandstand,3000x,Point,2.296318,48.8630502
Venue,Grand Stand,,Point,2.3272526,48.8605223
PSA,PSA Av. Dutuit,,Point,2.3160675,48.8670145
PSA,PSA Rue A. Briand,,Point,2.3188736,48.8608194
PSA,PSA Rue Solferino,,Point,2.3226927,48.859059
PSA,PSA Av Rapp,,Point,2.3002524,48.8578283
PSA,PSA Av George V,,Point,2.3011629,48.868403
PSA,PSA Rue Galiera,,Point,2.2975578,48.8657428
PSA,PSA Bvd de La Tour-Maubourg,Exact Location TBD,Point,2.3101616,48.8600352
PSA,PSA Av. F Roosevelt,,Point,2.3101261,48.8660763
PSA,PSA Kleber,,Point,2.2935181,48.8717346
PSA,PSA TROCADERO,,Point,2.2870832,48.862102
PSA,VSA TROCADERO,,Point,2.2869812,48.8622573
Metro Station,Kleber,,Point,2.2935005,48.8716529
Metro Station,Sevres - Babylone,,Point,2.3266063,48.851497
Metro Station,Rue du Bac,,Point,2.3256728,48.8557072
Metro Station,Saint-Francois-Xavier,,Point,2.31433,48.85122
Metro Station,Ecole Militaire,,Point,2.30569,48.85445
Metro Station,Odeon,,Point,2.3394761,48.8521655
Metro Station,Mabillon,,Point,2.3357908,48.8529413
Metro Station,Saint-Germain-des-Pres,,Point,2.3337393,48.8536184
Metro Station,Opera,,Point,2.3322168,48.8708714
Metro Station,Madeleine,,Point,2.3255781,48.8702689
Metro Station,Trocadero,,Point,2.2871461,48.8621331
Metro Station,Concorde Metro Station,Metro Station closed,Point,2.3232175,48.8662658
Metro Station,Champs-Elysees - Clemenceau Metro Station,Station Closed,Point,2.3133341,48.8675202
Metro Station,Tuileries Metro StationÂ ,Station Closed,Point,2.3300955,48.864284
Metro Station,Quatre-Septembre,,Point,2.3358823,48.8695922
Metro Station,Pyramides Metro Station,,Point,2.3346655,48.8654779
Metro Station,Saint Philippe du Roule Metro Station,,Point,2.3109121,48.8727185
Hotel,Lyric Hôtel Paris Opéra,,Point,2.3368552,48.868994
Hotel,Hôtel Thérèse,,Point,2.3360768,48.8658645
Hotel,Hôtel Le Littré,,Point,2.324147,48.8454395
Hotel,Hôtel Mercure Paris Gare de Lyon TGV,,Point,2.3727317,48.8444773
Hotel,Renaissance Paris Vendome Hotel,,Point,2.3295978,48.8654779
Hotel,Hôtel des Grands Boulevards,,Point,2.345029,48.8710071
Hotel,Villa Luxembourg,62x pax Riverside Maison Grandstand,Point,2.3306002,48.8418704
Hotel,TOO Hotel,30x pax PONT ALMA,Point,2.3824575,48.8255034
Hotel,Nuage,,Point,2.3121931,48.8715289
Hotel,Novotel Paris Centre Tour Eiffel,,Point,2.2832638,48.8498744
Hotel,Mama Shelter Paris West,,Point,2.292037,48.8287043
Hotel,Maison Bréguet,2x pax Riverside Palais Grandstand,Point,2.3720243,48.8565376
Hotel,Maison Albar - Le Pont-Neuf,,Point,2.3444221,48.8605117
Hotel,Hôtel Longchamp Elysées,,Point,2.2856762,48.865303
Hotel,Hotel Lautrec Opera,,Point,2.3386049,48.8711607
Hotel,Hôtel La Maison Champs Elysées,,Point,2.3090132,48.8666594
Hotel,Demeure Montaigne,,Point,2.3031845,48.8678223
Hotel,Hotel Pont Royal,,Point,2.3274168,48.8566048
Hotel,Hotel Gabriel Issy Paris.,,Point,2.273368,48.8277847
Hotel,Hotel Bel Ami,,Point,2.3331847,48.8548614
Hotel,Elysées Bassano Hotel,25 pax PONT ALMA,Point,2.2973727,48.8689199
Hotel,25hours Hotel Paris Terminus Nord,20x pax ORSAY 1,Point,2.355135,48.879574
